first,second,third,freq
pomfrey,professor,mcgonagall,111
professor,lupin,would,110
one,professor,snape,110
dear,professor,snape,110
professor,snape,even,110
professor,snape,eyes,109
professor,mcgonagall,come,109
professor,snape,head,109
said,professor,trelawney,109
professor,dumbledore,know,109
help,professor,snape,108
professor,snape,dumbledore,108
potter,professor,snape,108
professor,snape,knew,108
professor,snape,replied,108
professor,lupin,looked,108
mr,weasley,professor,107
professor,snape,found,107
professor,mcgonagall,informed,107
professor,mcgonagall,arrived,107
harry,said,professor,107
r,j,lupin,106
looking,professor,mcgonagall,106
hermione,professor,mcgonagall,106
sure,professor,mcgonagall,106
professor,r,j,105
see,professor,lupin,105
professor,dumbledore,says,105
headmaster,professor,mcgonagall,105
professor,snape,nodded,105
professor,dumbledore,left,104
mcgonagall,madam,pomfrey,104
professor,flitwick,told,104
professor,mcgonagall,still,104
professor,snape,looking,104
weasley,professor,mcgonagall,103
professor,snape,well,103
professor,snape,really,103
hermione,professor,snape,102
professor,snape,already,102
professor,mcgonagall,know,102
professor,mcgonagall,raised,102
transfiguration,professor,mcgonagall,102
professor,mcgonagall,waiting,102
professor,mcgonagall,going,102
mcgonagall,cleared,throat,102
turned,back,professor,102
professor,lupin,asked,102
professor,mcgonagall,went,102
headmaster,professor,snape,101
ask,professor,dumbledore,101
professor,snape,like,101
professor,mcgonagall,placed,100
professor,mcgonagall,snape,100
professor,mcgonagall,cleared,100
professor,snape,might,100
professor,flitwick,office,100
professor,dumbledore,called,99
professor,dumbledore,wanted,99
hospital,wing,professor,99
professor,snape,sat,99
lessons,professor,snape,99
talking,professor,mcgonagall,99
like,professor,dumbledore,98
sorry,professor,harry,98
called,professor,mcgonagall,98
asked,professor,flitwick,97
good,day,professor,97
professor,lupin,told,97
madame,pomfrey,professor,97
slytherin,common,room,96
professor,dumbledore,got,96
professor,snape,sitting,96
professor,mcgonagall,returned,96
harry,could,see,95
something,professor,snape,95
professor,draco,said,95
later,professor,mcgonagall,95
RRB,RRB,RRB,95
professor,snape,headmaster,94
one,professor,mcgonagall,94
potions,professor,hogwarts,94
professor,mcgonagall,hagrid,94
professor,sprout,asked,94
mr,malfoy,professor,94
professor,snape,good,94
professor,flitwick,charms,94
professor,snape,says,94
professor,snape,entered,93
look,professor,mcgonagall,93
professor,slughorn,office,93
