first,second,third,freq
professor,umbridge,tried,7
gave,former,professor,7
professor,snape,fond,7
cue,professor,mcgonagall,7
studies,professor,charity,7
may,call,severus,7
professor,snape,killing,7
twelve,grimmauld,place,7
comes,professor,snape,7
dada,professor,next,7
next,day,went,7
professor,headmaster,dumbledore,7
mr,mrs,malfoy,7
professor,snape,liked,7
looked,back,saw,7
snape,ron,said,7
professor,said,making,7
making,way,toward,7
think,could,get,7
potions,professor,wanted,7
teachers,especially,professor,7
professor,lupin,talking,7
much,professor,lupin,7
professor,dumbledore,feels,7
apparently,professor,sprout,7
professor,teaching,class,7
dolores,umbridge,professor,7
going,teach,us,7
said,harry,thought,7
professor,snape,kingsley,7
professor,snape,charge,7
oops,sorry,professor,7
see,charms,professor,7
right,one,thing,7
snape,raised,hand,7
professor,flitwick,really,7
professor,snape,stepping,7
position,deputy,headmaster,7
first,time,would,7
potions,professor,sneered,7
would,like,offer,7
professor,mcgonagall,detention,7
thought,saw,professor,7
softly,professor,snape,7
potions,professor,hermione,7
professor,mcgonagall,floated,7
dumbledore,given,harry,7
magic,without,wand,7
ill,colleagues,professor,7
several,hours,later,7
heavy,wooden,door,7
nervously,professor,snape,7
stood,walked,towards,7
known,death,eater,7
two,made,way,7
professor,said,evenly,7
mcgonagall,deputy,head,7
professor,dumbledore,yes,7
snape,drew,wand,7
professor,snape,claimed,7
ludo,bagman,sitting,7
professor,karkaroff,side,7
next,madame,maxime,7
word,professor,karkaroff,7
professor,karkaroff,swept,7
karkaroff,swept,students,7
swept,students,away,7
professor,snape,reported,7
common,room,found,7
snape,ron,hermione,7
teacher,professor,black,7
seated,head,table,7
full,grown,mountain,7
dumbledore,standing,beside,7
flitwick,stepped,forward,7
snape,taught,potions,7
professor,mcgonagall,spotted,7
back,forth,across,7
professor,snape,queried,7
mcgonagall,office,first,7
others,professor,snape,7
tell,professor,said,7
professor,quirrell,talking,7
professor,snape,clearly,7
mungo,hospital,magical,7
hospital,magical,maladies,7
need,potions,professor,7
professor,flitwick,saw,7
opened,mouth,retort,7
charms,professor,professor,7
muggle,born,professor,7
muggle,born,students,7
harry,hermione,neville,7
harry,ask,professor,7
professor,snape,returns,7
professor,mcgonagall,wiped,7
professor,flitwick,ron,7
dark,eyes,professor,7
hogwarts,defence,professor,7
second,week,term,7
yule,ball,professor,7
kept,close,eye,7
knocked,door,opened,7
started,reading,names,7
great,hall,screaming,7
year,told,professor,7
snape,extra,credit,7
one,night,professor,7
black,eyes,glittering,7
made,great,hall,7
mcgonagall,would,mind,7
professor,think,take,7
sixth,year,hogwarts,7
katie,bell,gryffindor,7
draco,could,say,7
common,room,without,7
entrance,professor,snape,7
got,close,enough,7
headmaster,dippet,professor,7
try,kill,professor,7
know,professor,burbage,7
professor,burbage,professor,7
madam,pomfrey,left,7
well,professor,replied,7
invited,professor,slughorn,7
several,years,ago,7
drew,wand,cast,7
severus,professor,slughorn,7
mcgonagall,came,room,7
professor,sprout,showing,7
professor,would,notice,7
oh,excuse,professor,7
professor,trelawney,walking,7
remembering,professor,mcgonagall,7
one,favorite,students,7
professor,dumbledore,question,7
said,old,professor,7
one,thing,learned,7
eyes,wide,shock,7
age,may,stay,7
even,head,house,7
first,week,school,7
going,back,hogwarts,7
mcgonagall,sitting,behind,7
going,straight,professor,7
professor,mcgonagall,writing,7
fighting,death,eaters,7
professor,dumbledore,bring,7
professor,quirrell,made,7
dumbledore,could,get,7
professor,would,go,7
last,year,told,7
hair,hooked,nose,7
severus,potions,professor,7
snogging,professor,snape,7
feet,away,professor,7
wonder,professor,slughorn,7
would,able,tell,7
sat,either,side,7
hand,hermione,shoulder,7
professor,umbridge,swinging,7
umbridge,swinging,leg,7
swinging,leg,broomstick,7
george,pointing,professor,7
professor,marchbanks,gave,7
professor,tofty,gave,7
course,professor,lily,7
dumbledore,nodded,professor,7
forgive,professor,snape,7
find,professor,longbottom,7
heard,professor,call,7
afternoon,professor,harry,7
harry,said,carefully,7
knowing,professor,mcgonagall,7
listened,professor,slughorn,7
ancient,runes,arithmancy,7
magical,creatures,charms,7
saving,professor,snape,7
lupin,professor,black,7
spent,time,professor,7
tonks,professor,flitwick,7
late,next,class,7
professor,sprout,dismissed,7
taking,professor,mcgonagall,7
mcgonagall,magically,amplified,7
professor,mcgonagall,walks,7
dumbledore,came,back,7
pay,attention,class,7
attention,class,professor,7
well,thank,much,7
snape,came,behind,7
hagrid,professor,longbottom,7
jet,red,light,7
looked,professor,sprout,7
professor,longbottom,led,7
professor,snape,birthday,7
house,elves,professor,7
professor,sprout,may,7
professor,mcgonagall,showing,7
professor,snape,figure,7
first,years,following,7
professor,hagrid,class,7
head,one,side,7
professor,ashain,asked,7
time,ever,heard,7
professor,ashain,could,7
possessing,professor,ashain,7
extremely,dark,auburn,7
professor,ashain,looked,7
professor,ashain,seemed,7
professor,would,happen,7
going,try,get,7
mcgonagall,standing,next,7
harry,narrowed,eyes,7
10,00,11,7
00,11,40,7
noon,1,30,7
1,30,lunch,7
30,lunch,free,7
madam,pince,said,7
professor,lee,said,7
like,snape,professor,7
announcement,professor,dumbledore,7
promise,professor,dumbledore,7
hermione,took,one,7
professor,dumbledore,bowed,7
hour,later,harry,7
really,professor,harry,7
another,half,hour,7
touch,professor,dumbledore,7
harry,yes,professor,7
make,sure,okay,7
professor,mcgonagall,contacted,7
minerva,mcgonagall,standing,7
professor,mcgonagall,members,7
sitting,front,row,7
wilhelmina,grubbly,plank,7
class,asking,professor,7
today,project,suitable,7
care,witches,underwear,7
witches,underwear,professor,7
professor,headmaster,hogwarts,7
professor,dumbledore,dobby,7
around,dance,floor,7
professor,snape,pleasant,7
excellent,idea,professor,7
professor,called,harry,7
hold,professor,mcgonagall,7
would,please,go,7
professor,binns,harry,7
said,soft,voice,7
professor,sprout,held,7
professor,harry,protested,7
afternoon,professor,slughorn,7
story,professor,mcgonagall,7
professor,dumbledore,interjected,7
hard,believe,professor,7
hogwarts,year,professor,7
surprised,professor,lupin,7
professor,anything,else,7
professor,snape,slightly,7
professor,snape,straightened,7
life,professor,dumbledore,7
go,see,madam,7
professor,flitwick,rushed,7
mrs,weasley,looked,7
desk,front,classroom,7
thank,professor,malfoy,7
professor,malfoy,called,7
right,professor,longbottom,7
detention,forbidden,forest,7
welcome,professor,umbridge,7
eyes,fell,professor,7
professor,mcgonagall,marching,7
room,without,giving,7
without,giving,slightest,7
giving,slightest,indication,7
slightest,indication,knew,7
form,one,long,7
cold,fury,turning,7
fury,turning,professor,7
behind,ask,professor,7
yes,know,professor,7
came,running,room,7
hermione,granger,snape,7
:-,RRB,professor,7
first,years,standing,7
trelawney,divination,teacher,7
longer,professor,snape,7
snape,taught,occlumency,7
professor,snape,revealed,7
get,caught,professor,7
mcgonagall,mouth,thin,7
professor,said,left,7
grubbly,plank,stood,7
bit,interest,ducked,7
tha,jus,superstition,7
jus,superstition,unlucky,7
superstition,unlucky,dead,7
unlucky,dead,clever,7
dead,clever,useful,7
trelawney,still,sobbing,7
still,sobbing,choking,7
sobbing,choking,trunk,7
choking,trunk,said,7
trunk,said,quite,7
wand,held,squeaked,7
held,squeaked,locomotor,7
air,proceeded,staircase,7
proceeded,staircase,professor,7
may,speak,professor,7
hand,professor,sprout,7
calling,professor,potter,7
hermione,jane,granger,7
dumbledore,standing,front,7
professor,mcgonagall,afraid,7
looking,right,professor,7
professor,scorpius,said,7
detention,professor,lupin,7
meeting,professor,lupin,7
professor,trelawney,cried,7
gryffindor,hufflepuff,ravenclaw,7
least,professor,flitwick,7
year,old,harry,7
would,get,away,7
talk,potions,professor,7
potions,professor,man,7
really,death,eater,7
professor,ask,question,7
professor,trelawney,taught,7
professor,trelawney,finally,7
office,egg,office,7
egg,office,professor,7
heard,banging,wailing,7
banging,wailing,yes,7
wailing,yes,professor,7
yes,professor,egg,7
harry,smiled,slightly,7
potions,master,defense,7
professor,mcgonagall,warning,7
hey,professor,professor,7
across,desk,professor,7
snape,raised,wand,7
dumbledore,smiled,kindly,7
order,professor,snape,7
hermione,felt,professor,7
rude,professor,snape,7
eater,professor,dumbledore,7
job,professor,snape,7
mcgonagall,said,tell,7
draco,fetch,professor,7
well,trying,speak,7
professor,umbridge,face,7
think,squad,come,7
squad,come,look,7
come,look,fully,7
look,fully,qualified,7
ministry,official,malfoy,7
official,malfoy,really,7
really,think,manage,7
back,professor,umbridge,7
go,professor,umbridge,7
professor,lupin,friend,7
bones,professor,dumbledore,7
professor,sprout,appeared,7
snape,asked,voice,7
harry,said,taking,7
neville,dean,seamus,7
dumbledore,asked,could,7
steal,professor,snape,7
stepped,professor,dumbledore,7
miss,professor,mcgonagall,7
got,go,see,7
one,else,would,7
joke,professor,joke,7
megaphone,dancing,professor,7
smiled,professor,flitwick,7
educational,decree,number,7
get,message,professor,7
streaming,face,behind,7
face,behind,enormous,7
crowd,grabbed,professor,7
grabbed,professor,trelawney,7
professor,trelawney,luggage,7
around,professor,sprout,7
everyone,professor,dumbledore,7
snape,head,table,7
new,arithmancy,professor,7
second,third,year,7
eyes,came,rest,7
know,professor,granger,7
professor,vector,madam,7
evening,professor,umbridge,7
back,professor,remus,7
met,professor,lockhart,7
mcgonagall,asked,professor,7
turner,professor,mcgonagall,7
anyone,else,know,7
mcgonagall,led,harry,7
names,professor,mcgonagall,7
giving,professor,mcgonagall,7
black,professor,dumbledore,7
enough,professor,lupin,7
looked,like,trying,7
school,grounds,professor,7
watching,professor,dumbledore,7
looked,ron,hermione,7
professor,snape,learn,7
harry,took,one,7
room,talking,professor,7
said,could,use,7
thoughts,professor,dumbledore,7
summer,professor,snape,7
speechless,shock,glasses,7
flashed,furiously,dare,7
furiously,dare,might,7
way,doctor,whomping,7
december,professor,mcgonagall,7
mcgonagall,came,told,7
professor,trelawney,moved,7
thin,large,glasses,7
large,glasses,magnified,7
glasses,magnified,eyes,7
magnified,eyes,several,7
several,times,natural,7
times,natural,size,7
natural,size,draped,7
size,draped,gauzy,7
draped,gauzy,spangled,7
gauzy,spangled,shawl,7
trelawney,seated,winged,7
seated,winged,armchair,7
professor,trelawney,delicately,7
trelawney,delicately,rearranged,7
delicately,rearranged,shawl,7
rearranged,shawl,continued,7
professor,trelawney,took,7
staring,transfixed,professor,7
professor,trelawney,chair,7
professor,trelawney,mistiest,7
packed,away,books,7
tea,leaves,ah,7
leaves,ah,course,7
ah,course,said,7
professor,mcgonagall,fixing,7
fact,never,speak,7
fact,tone,look,7
tone,look,excellent,7
health,potter,excuse,7
potter,excuse,let,7
excuse,let,homework,7
let,homework,today,7
arrived,first,defense,7
puzzled,interested,class,7
peeves,look,professor,7
curly,toed,feet,7
loud,wet,raspberry,7
gave,small,sigh,7
thank,dean,said,7
class,looking,shabby,7
inside,please,said,7
eyed,rattling,doorknob,7
rattling,doorknob,apprehensively,7
lupin,hermione,glowed,7
lupin,choosing,ignore,7
choosing,ignore,neville,7
small,sputter,terror,7
neville,successful,boggart,7
shift,attention,us,7
attention,us,turn,7
three,neville,said,7
heard,percy,say,7
percy,say,suddenly,7
sharp,voice,somebody,7
professor,dumbledore,sweeping,7
dumbledore,sweeping,toward,7
sweeping,toward,portrait,7
squeezed,together,let,7
dumbledore,told,professors,7
told,professors,mcgonagall,7
sir,done,boggarts,7
done,boggarts,red,7
caps,kappas,grindylows,7
hermione,quickly,start,7
quickly,start,quiet,7
start,quiet,said,7
quiet,said,snape,7
said,snape,coldly,7
flitwick,could,seen,7
teaching,front,doors,7
front,doors,recognize,7
large,picture,sirius,7
sirius,black,filch,7
whether,professor,trelawney,7
professor,trelawney,raised,7
obstacle,course,outside,7
course,outside,sun,7
outside,sun,wade,7
sun,wade,across,7
wade,across,deep,7
across,deep,paddling,7
paddling,pool,containing,7
pool,containing,grindylow,7
containing,grindylow,cross,7
grindylow,cross,series,7
cross,series,potholes,7
series,potholes,full,7
potholes,full,red,7
full,red,caps,7
red,caps,squish,7
caps,squish,way,7
squish,way,across,7
way,across,patch,7
across,patch,marsh,7
patch,marsh,ignoring,7
marsh,ignoring,misleading,7
ignoring,misleading,directions,7
misleading,directions,hinkypunk,7
long,line,first,7
extremely,old,dirty,7
said,moody,calmly,7
bouncing,ferret,still,7
ferret,still,higher,7
professor,mcgonagall,books,7
books,spilling,arms,7
pulling,wand,moment,7
loud,snapping,noise,7
lying,heap,floor,7
sleek,blond,hair,7
blond,hair,brilliantly,7
hair,brilliantly,pink,7
brilliantly,pink,face,7
surprise,professor,moody,7
would,putting,imperius,7
curse,turn,demonstrate,7
turn,demonstrate,power,7
demonstrate,power,see,7
power,see,whether,7
see,whether,could,7
whether,could,resist,7
could,resist,effects,7
said,hermione,uncertainly,7
hermione,uncertainly,moody,7
weekly,essays,goblin,7
essays,goblin,rebellions,7
three,extra,books,7
takin,leaf,outta,7
leaf,outta,professor,7
outta,professor,moody,7
professor,moody,book,7
moody,book,hear,7
good,ferret,malfoy,7
last,line,professor,7
like,vine,said,7
vine,said,one,7
said,one,durmstrang,7
one,durmstrang,boys,7
durmstrang,boys,hopefully,7
maxime,looked,tense,7
swept,past,ludo,7
bagman,professor,karkaroff,7
professor,karkaroff,whisper,7
dumbledore,straightened,nodding,7
straightened,nodding,professor,7
behind,opened,large,7
group,people,came,7
people,came,professor,7
crouch,professor,karkaroff,7
heard,buzzing,hundreds,7
buzzing,hundreds,students,7
hundreds,students,side,7
students,side,wall,7
doors,opened,everyone,7
robes,red,tartan,7
everyone,else,went,7
way,please,said,7
years,entered,led,7
entered,led,professor,7
lined,front,staff,7
placed,stool,carefully,7
stool,carefully,front,7
hufflepuff,professor,mcgonagall,7
hem,hem,RRB,7
hem,RRB,continued,7
RRB,continued,breathiness,7
continued,breathiness,vanished,7
breathiness,vanished,voice,7
dark,eyebrows,contracted,7
significant,glance,professor,7
illuminating,said,bowing,7
professor,umbridge,yet,7
umbridge,chanted,back,7
teaching,subject,rather,7
half,class,staring,7
umbridge,seemed,decide,7
seemed,decide,could,7
decide,could,ignore,7
could,ignore,situation,7
ignore,situation,longer,7
professor,umbridge,falsely,7
umbridge,falsely,sweet,7
professor,umbridge,promptly,7
umbridge,promptly,turned,7
turned,away,several,7
away,several,people,7
several,people,hands,7
angrily,best,ever,7
best,ever,hand,7
ever,hand,mr,7
hand,mr,thomas,7
professor,umbridge,however,7
fake,smile,face,7
roll,pink,parchment,7
better,get,going,7
mcgonagall,marched,room,7
professor,umbridge,expect,7
umbridge,expect,gain,7
umbridge,asked,snape,7
made,note,clipboard,7
able,understand,professor,7
one,hand,empty,7
empty,sherry,bottle,7
sherry,bottle,looking,7
bottle,looking,utterly,7
looking,utterly,mad,7
marched,straight,professor,7
straight,professor,trelawney,7
umbridge,standing,stock,7
standing,stock,still,7
stock,still,staring,7
zoomed,air,professor,7
professor,flitwick,outstretched,7
flitwick,outstretched,arms,7
knocking,backwards,feet,7
students,front,desks,7
front,desks,got,7
desks,got,took,7
beneath,elbows,lifted,7
thank,thank,panted,7
thank,panted,professor,7
group,students,supportive,7
students,supportive,ministry,7
supportive,ministry,magic,7
picked,professor,umbridge,7
dumbledore,orders,course,7
assumed,professor,slughorn,7
hall,accompanied,professor,7
great,wizard,potter,7
potter,many,demands,7
know,sn,someone,7
sn,someone,going,7
professor,lockhart,going,7
studied,professor,snape,7
next,lesson,professor,7
found,facing,professor,7
seat,professor,flitwick,7
said,leaning,back,7
handing,class,schedules,7
first,class,potions,7
professor,dumbledore,assigned,7
help,us,professor,7
professor,head,table,7
tell,whole,story,7
moment,professor,said,7
professor,flitwick,returned,7
mcgonagall,called,first,7
writing,professor,snape,7
come,us,professor,7
ms,granger,mr,7
professor,mcgonagall,middle,7
already,knew,professor,7
put,professor,mcgonagall,7
well,professor,longbottom,7
whether,professor,mcgonagall,7
professor,longbottom,going,7
mr,peakes,professor,7
sounds,great,professor,7
professor,mcgonagall,replaced,7
professor,slughorn,exclaimed,7
quieted,professor,mcgonagall,7
students,professor,slughorn,7
work,professor,slughorn,7
training,session,professor,7
professor,slughorn,get,7
began,reading,names,7
getting,professor,slughorn,7
snape,said,turning,7
mr,longbottom,please,7
mcgonagall,said,one,7
dumbledore,could,find,7
snape,occlumency,lessons,7
beside,professor,sprout,7
vector,give,us,7
lunchtime,said,karkaroff,7
said,karkaroff,loudly,7
case,professor,flitwick,7
potter,tell,professor,7
dumbledore,took,us,7
professor,dumbledore,paying,7
door,open,professor,7
done,kindly,alert,7
kindly,alert,professor,7
moody,need,dumbledore,7
dumbledore,stood,staff,7
dark,art,professor,7
potions,master,could,7
introduced,professor,slughorn,7
took,professor,sprout,7
thought,looked,like,7
used,time,turner,7
bone,crushing,hug,7
possible,professor,mcgonagall,7
would,let,professor,7
mcgonagall,talking,professor,7
professor,binns,old,7
grounds,professor,mcgonagall,7
care,gryffindor,care,7
want,slytherin,win,7
house,cup,lose,7
cup,lose,points,7
lose,points,got,7
points,got,professor,7
professor,flitwick,beaming,7
better,professor,flitwick,7
thought,ready,start,7
flitwick,perched,top,7
match,closely,watched,7
list,students,would,7
ticked,fingers,professor,7
fingers,professor,quirrell,7
earth,professor,mcgonagall,7
breathing,heavily,long,7
heavily,long,pointed,7
long,pointed,nose,7
professor,please,ca,7
fourteen,b,wrong,7
worked,hard,protect,7
felt,would,make,7
would,make,father,7
make,father,even,7
weasley,mr,weasley,7
class,transfiguration,professor,7
harry,thought,might,7
longbottom,herbology,teacher,7
points,gryffindor,miss,7
professor,longbottom,sighed,7
leaving,professor,flitwick,7
gilderoy,lockhart,professor,7
getting,professor,mcgonagall,7
snape,made,clear,7
professor,lupin,keep,7
legilimency,professor,snape,7
professor,lupin,today,7
thought,asking,professor,7
professor,said,little,7
professor,dumbledore,summer,7
never,got,chance,7
worried,look,face,7
think,ask,professor,7
professor,flitwick,recommended,7
ever,since,started,7
head,hufflepuff,professor,7
atop,stack,books,7
first,year,charms,7
said,voice,shaking,7
ancient,noble,house,7
said,professor,severus,7
raven,haired,boy,7
sorry,professor,added,7
favorite,dada,professor,7
took,quick,glance,7
professor,snape,putting,7
professor,mcgonagall,stop,7
arthur,molly,weasley,7
lupin,said,looking,7
became,professor,hogwarts,7
professor,granger,weasley,7
hogwarts,professor,lupin,7
harry,turned,toward,7
professor,trelawney,saw,7
glared,former,professor,7
mcgonagall,strode,room,7
made,way,table,7
tell,harry,said,7
came,stern,voice,7
professor,snape,contact,7
keep,eye,things,7
magically,magnified,voice,7
back,saw,professor,7
side,side,professor,7
professor,mcgonagall,punishment,7
professor,umbridge,door,7
conversation,professor,slughorn,7
sorry,professor,go,7
office,professor,slughorn,7
yeah,professor,dumbledore,7
professor,dumbledore,alone,7
severus,snape,sat,7
messy,black,hair,7
remus,lupin,LRB,7
two,way,mirror,7
ran,hospital,wing,7
professor,asked,question,7
professor,umbridge,going,7
entered,room,looking,7
ca,true,know,7
true,know,ca,7
next,came,professor,7
along,toes,hitting,7
toes,hitting,stair,7
hitting,stair,descended,7
recognized,professor,flitwick,7
professor,said,sternly,7
professor,snape,carried,7
said,professor,think,7
professor,dumbledore,proud,7
asked,harry,stay,7
charm,professor,lupin,7
stood,front,harry,7
time,talk,professor,7
professor,mcgonagall,feel,7
harry,pretty,sure,7
beside,professor,dumbledore,7
sitting,great,hall,7
hermione,harry,said,7
harry,potter,life,7
three,days,professor,7
professor,snape,respond,7
mcgonagall,looked,one,7
chapter,twenty,three,7
said,professor,plinky,7
even,noticed,professor,7
never,know,professor,7
professor,snape,gaze,7
professor,lupin,ever,7
old,sorting,hat,7
tell,anything,professor,7
professor,mcgonagall,evening,7
professor,sprout,like,7
get,permission,professor,7
assumed,professor,mcgonagall,7
permission,professor,flitwick,7
seems,like,professor,7
snape,harry,replied,7
ron,said,harry,7
merlin,professor,mcgonagall,7
cast,shield,charm,7
narcissa,professor,snape,7
meeting,professor,sprout,7
lessons,last,year,7
shaking,hands,professor,7
door,behind,professor,7
professor,trelawney,turned,7
death,eaters,know,7
professor,flitwick,since,7
intimidating,professor,snape,7
man,called,professor,7
hospital,wing,madame,7
wing,madame,pomfrey,7
mcgonagall,face,softened,7
dumbledore,powerful,wizard,7
would,kill,professor,7
hex,professor,snape,7
professor,dumbledore,fawkes,7
made,feel,better,7
many,house,points,7
sorry,say,professor,7
potions,master,school,7
couple,days,ago,7
snape,could,come,7
professor,snape,fire,7
professor,mcgonagall,hair,7
maybe,able,go,7
able,go,professor,7
professor,dumbledore,persuade,7
dumbledore,persuade,change,7
persuade,change,mind,7
professor,said,taking,7
lupin,stamped,across,7
ladder,professor,trelawney,7
finished,essay,professor,7
hermione,said,politely,7
turned,around,quickly,7
thank,professor,smiled,7
professor,ms,granger,7
professor,tonks,professor,7
needed,tell,professor,7
professor,something,need,7
professor,dumbledore,whatever,7
potions,professor,trying,7
least,favorite,teacher,7
head,slytherin,potions,7
mutilating,roots,sir,7
professor,snape,surprised,7
two,students,professor,7
professor,slughorn,giving,7
happy,help,professor,7
club,professor,slughorn,7
first,years,looked,7
hospital,wing,right,7
professor,snape,plan,7
dumbledore,already,knows,7
points,gryffindor,mr,7
moments,professor,snape,7
please,fetch,professor,7
dumbledore,chief,warlock,7
perhaps,would,best,7
professor,snape,accused,7
snape,let,us,7
take,points,house,7
mcgonagall,left,dumbledore,7
five,minutes,left,7
umbridge,may,tell,7
may,tell,contrary,7
tell,contrary,authorized,7
contrary,authorized,form,7
authorized,form,press,7
form,press,gangs,7
may,mock,professor,7
mock,professor,umbridge,7
professor,umbridge,front,7
umbridge,front,press,7
flitwick,heard,swish,7
heard,swish,flick,7
swish,flick,jokes,7
flick,jokes,tired,7
snape,personal,postbox,7
43,bad,idea,7
months,ago,professor,7
professor,lily,replied,7
meet,professor,sprout,7
walked,professor,sprout,7
better,head,back,7
dumbledore,pointed,wand,7
alastor,moody,professor,7
professor,dumbledore,study,7
may,remember,professor,7
chance,professor,snape,7
potions,professor,finally,7
snape,good,mood,7
professor,george,said,7
said,waving,wand,7
mcgonagall,madame,hooch,7
heading,professor,dumbledore,7
thought,heard,professor,7
would,never,get,7
questioned,professor,snape,7
head,saw,professor,7
mcgonagall,became,headmistress,7
would,probably,best,7
professor,snape,ronald,7
situation,professor,dumbledore,7
far,enough,away,7
almost,two,years,7
professor,snape,gently,7
see,mr,weasley,7
mcgonagall,said,coming,7
professor,would,hear,7
professor,snape,delighted,7
chair,opposite,professor,7
harry,looked,snape,7
professor,mcgonagall,giant,7
pointing,professor,lupin,7
lupin,appeared,holding,7
appeared,holding,handful,7
staff,table,harry,7
compartment,train,professor,7
train,professor,lupin,7
cat,mrs,norris,7
going,hand,professor,7
mine,said,professor,7
dangling,foot,ground,7
say,remember,hogwarts,7
remember,hogwarts,rosmerta,7
back,castle,said,7
dear,mr,hagrid,7
mr,hagrid,inquiry,7
hagrid,inquiry,attack,7
student,class,accepted,7
assurances,professor,dumbledore,7
seen,poor,professor,7
lupin,us,long,7
professor,lupin,forced,7
back,yet,professor,7
better,go,see,7
professor,flitwick,indeed,7
looked,homework,ministry,7
professor,lupin,currently,7
lupin,currently,deep,7
currently,deep,forest,7
deep,forest,unable,7
forest,unable,tell,7
unable,tell,anyone,7
version,events,far,7
events,far,convincing,7
everyone,know,professor,7
professor,let,us,7
let,get,straight,7
think,professor,granger,7
asking,professor,sprout,7
snape,appeared,doorway,7
one,professor,hogwarts,7
please,let,go,7
professor,mcgonagall,loudly,7
professor,private,rooms,7
professor,said,could,7
professor,seventh,year,7
go,back,castle,7
could,get,past,7
followed,former,professor,7
hermione,began,professor,7
deep,breath,looked,7
take,place,professor,7
strange,professor,snape,7
snape,pulled,wand,7
great,professor,snape,7
maybe,professor,flitwick,7
mcgonagall,wanted,talk,7
professor,dumbledore,contacted,7
please,stay,class,7
professor,leaned,forward,7
life,potions,professor,7
trying,say,professor,7
professor,mcgonagall,seat,7
professor,snape,believed,7
professor,sprout,desk,7
second,years,professor,7
know,say,professor,7
trying,hard,laugh,7
caught,red,handed,7
professor,snape,implied,7
would,take,time,7
two,weeks,since,7
potions,classes,professor,7
defence,professor,harry,7
professor,said,anything,7
professor,sprout,helped,7
professor,dumbledore,refused,7
professor,sprout,caught,7
last,professor,snape,7
moste,potente,potions,7
questions,professor,dumbledore,7
familiar,voice,professor,7
hallway,professor,mcgonagall,7
professor,morrisey,said,7
relief,professor,snape,7
finally,looked,professor,7
stared,potions,professor,7
left,headmaster,office,7
wise,old,professor,7
professor,mcgonagall,join,7
professor,dumbledore,cried,7
professor,mcgonagall,real,7
mcgonagall,entrance,hall,7
nodded,walked,away,7
mcgonagall,entered,office,7
snape,said,smoothly,7
day,professor,sprout,7
except,professor,sprout,7
thought,professor,sprout,7
professor,mcgonagall,doubt,7
death,eater,could,7
time,seen,professor,7
harry,ever,heard,7
memories,professor,dumbledore,7
infirmary,professor,mcgonagall,7
ravenclaw,house,charms,7
professor,lupin,auror,7
5,points,gryffindor,7
snape,said,severus,7
one,first,years,7
professor,snape,cared,7
professor,dumbledore,calls,7
professor,snape,several,7
professor,snape,pretty,7
encounter,professor,snape,7
good,evening,said,7
professor,took,time,7
late,professor,said,7
professor,flitwick,suddenly,7
professor,snape,daphne,7
get,something,professor,7
please,help,professor,7
even,worse,professor,7
back,said,professor,7
thank,professor,granger,7
professor,slughorn,sitting,7
sleeping,professor,snape,7
question,professor,lupin,7
snape,private,stores,7
name,professor,flitwick,7
took,seat,across,7
spells,professor,flitwick,7
uses,dragon,blood,7
mcgonagall,came,sweeping,7
man,named,professor,7
mcgonagall,said,go,7
explain,said,professor,7
professor,muggle,series,7
severus,snape,one,7
professor,phineas,nigellus,7
professor,prewett,said,7
book,spells,grade,7
call,professor,slughorn,7
learned,professor,lupin,7
sorry,professor,longbottom,7
professor,snape,chuckled,7
eyes,filled,tears,7
spell,professor,lupin,7
turned,harry,ron,7
professor,snape,lecture,7
professor,snape,lip,7
copy,professor,snape,7
visited,professor,mcgonagall,7
flitwick,new,deputy,7
concerned,professor,mcgonagall,7
mcgonagall,harry,ron,7
stood,walked,around,7
problem,professor,said,7
weeks,detention,professor,7
next,full,moon,7
defeat,lord,voldemort,7
hermione,former,professor,7
seat,beside,professor,7
professor,snape,proud,7
said,word,professor,7
professor,school,would,7
rose,full,height,7
lupin,harry,potter,7
kiss,professor,snape,7
professor,lupin,bill,7
last,year,defense,7
professor,dumbledore,cedric,7
professor,malfoy,harry,7
going,say,anything,7
never,professor,dumbledore,7
news,professor,mcgonagall,7
escort,back,gryffindor,7
suddenly,heard,professor,7
hair,professor,snape,7
mcgonagall,headmistress,mcgonagall,7
felt,bad,professor,7
felt,professor,dumbledore,7
said,professor,would,7
theme,professor,snape,7
attention,professor,vector,7
looked,professor,longbottom,7
professor,sprout,idea,7
afternoon,professor,lupin,7
within,seconds,professor,7
professor,snape,focused,7
however,professor,sprout,7
could,get,rid,7
professor,babbling,told,7
back,entrance,hall,7
extra,homework,professor,7
mcgonagall,made,swear,7
professor,snape,lie,7
lot,things,professor,7
since,first,day,7
professor,dumbledore,every,7
professor,moody,got,7
arts,classroom,professor,7
professor,flitwick,teaches,7
report,professor,flitwick,7
eyes,professor,flitwick,7
sev,mean,professor,7
look,reminiscent,professor,7
professor,harry,returned,7
snape,would,please,7
good,one,professor,7
hermione,ever,seen,7
face,professor,slughorn,7
poppy,professor,mcgonagall,7
called,professor,slughorn,7
trying,kill,professor,7
ca,help,professor,7
professor,lupin,dog,7
meet,new,professor,7
professor,lupin,soon,7
suddenly,professor,trelawney,7
professor,mcgonagall,begins,7
first,years,arrived,7
professor,flitwick,mind,7
aun,professor,mcgonagall,7
head,table,see,7
visit,professor,flitwick,7
defense,professor,last,7
use,floo,network,7
professor,umbridge,ministry,7
think,might,need,7
snape,gets,back,7
deputy,headmistress,minerva,7
moments,later,harry,7
hello,class,professor,7
number,four,privet,7
professor,prince,mallard,7
